"ResponseId","ImageNum","Mancheck","paintType","like","beauty","profound","worth","emo","story","meaningful","effort","totalmins","crtcorrect","growth","fixed","empathy","openness","posAI","negAI","Matched"
1,1,"AI","R",2,3,2,3,2,4,2,4,0,6,14,10,56,45,40,18,1
1,10,"AI","R",2,3,3,3,2,4,3,3,0,6,14,10,56,45,40,18,1
1,11,"Human","A",2,3,3,3,2,1,3,3,240,6,14,10,56,45,40,18,1
1,12,"AI","R",2,3,3,3,2,5,2,3,0,6,14,10,56,45,40,18,1
1,13,"Human","R",2,3,3,4,2,4,3,5,30240,6,14,10,56,45,40,18,1
1,14,"Human","A",4,4,3,3,4,3,3,2,90,6,14,10,56,45,40,18,1
1,15,"Human","A",3,4,3,3,2,2,3,4,360,6,14,10,56,45,40,18,1
1,16,"Human","R",5,5,4,5,4,2,4,5,180,6,14,10,56,45,40,18,1
1,17,"AI","A",3,3,2,4,2,4,3,5,4320,6,14,10,56,45,40,18,1
1,18,"Human","R",4,5,3,4,4,4,3,4,420,6,14,10,56,45,40,18,1
1,19,"AI","R",5,5,5,4,4,4,4,5,0,6,14,10,56,45,40,18,1
1,2,"Human","A",4,3,3,3,3,4,2,3,240,6,14,10,56,45,40,18,1
1,20,"Human","A",3,2,3,2,2,2,3,2,120,6,14,10,56,45,40,18,1
1,21,"Human","A",4,4,4,4,4,3,4,3,420,6,14,10,56,45,40,18,1
1,22,"Human","R",4,3,4,4,3,3,4,2,60,6,14,10,56,45,40,18,1
1,23,"Human","A",3,3,4,4,3,1,4,4,540,6,14,10,56,45,40,18,1
1,24,"AI","A",4,4,4,4,3,2,4,2,0,6,14,10,56,45,40,18,1
1,25,"Human","R",4,4,4,4,4,5,4,5,300,6,14,10,56,45,40,18,1
1,26,"AI","R",2,2,2,3,2,4,2,3,0,6,14,10,56,45,40,18,1
1,27,"AI","R",2,3,2,3,3,5,2,4,0,6,14,10,56,45,40,18,1
1,28,"Human","A",2,3,2,3,2,2,2,4,300,6,14,10,56,45,40,18,1
1,29,"AI","A",3,2,3,3,3,5,3,2,0,6,14,10,56,45,40,18,1
1,3,"Human","R",3,4,3,4,3,4,3,4,720,6,14,10,56,45,40,18,1
1,30,"Human","R",2,3,3,3,3,2,3,4,300,6,14,10,56,45,40,18,1
1,4,"Human","A",3,4,3,3,3,4,2,3,240,6,14,10,56,45,40,18,1
1,5,"AI","R",3,4,3,3,3,4,2,3,0,6,14,10,56,45,40,18,1
1,6,"AI","A",2,3,3,3,2,2,3,5,0,6,14,10,56,45,40,18,1
1,7,"AI","R",4,4,3,4,3,5,4,2,30,6,14,10,56,45,40,18,1
1,8,"Human","A",3,3,3,3,3,4,3,3,420,6,14,10,56,45,40,18,1
